MUNI_NUM;MUNI_DESC_I;MUNI_DESC_D;MUNI_DESC_L;MUNI_SECT;MUNI_SECP;MUNI_BLANK;MUNI_NULLS;LIST_NUM;LIST_NAME;LIST_VOTES
021001;ALDINO;ALDEIN;ALDEIN;2;2;9;28;1;TEAM K;93
021001;ALDINO;ALDEIN;ALDEIN;2;2;9;28;2;MOVIMENTO 5 STELLE;2
021001;ALDINO;ALDEIN;ALDEIN;2;2;9;28;3;ENZIAN;7
021001;ALDINO;ALDEIN;ALDEIN;2;2;9;28;4;STF SÜDTIROLER FREIHEIT;146
021001;ALDINO;ALDEIN;ALDEIN;2;2;9;28;5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;1
021001;ALDINO;ALDEIN;ALDEIN;2;2;9;28;6;VERDI GRÜNE VËRC;50
021001;ALDINO;ALDEIN;ALDEIN;2;2;9;28;7;FRATELLI D’ITALIA;15
021001;ALDINO;ALDEIN;ALDEIN;2;2;9;28;8;LA CIVICA;0
021001;ALDINO;ALDEIN;ALDEIN;2;2;9;28;9;JWA - WIRTH ANDERLAN;115
021001;ALDINO;ALDEIN;ALDEIN;2;2;9;28;10;DIE FREIHEITLICHEN;96
021001;ALDINO;ALDEIN;ALDEIN;2;2;9;28;11;FORZA ITALIA;0
021001;ALDINO;ALDEIN;ALDEIN;2;2;9;28;12;VITA;28
021001;ALDINO;ALDEIN;ALDEIN;2;2;9;28;13;CENTRO DESTRA;0
021001;ALDINO;ALDEIN;ALDEIN;2;2;9;28;14;SVP SÜDTIROLER VOLKSPARTEI;420
021001;ALDINO;ALDEIN;ALDEIN;2;2;9;28;15;LEGA SALVINI ALTO ADIGE SÜDTIROL - UNITI PER L’ALTO ADIGE;1
021001;ALDINO;ALDEIN;ALDEIN;2;2;9;28;16;FÜR SÜDTIROL MIT WIDMANN;39
021002;ANDRIANO;ANDRIAN;ANDRIAN;1;1;5;12;1;TEAM K;56
021002;ANDRIANO;ANDRIAN;ANDRIAN;1;1;5;12;2;MOVIMENTO 5 STELLE;1
