LIST_NUM;LIST_NAME;LIST_PICTURE;;;;;;;;;;;
1;TEAM K;1 Team-K.jpg;;;;;;;;;;;1 Team-K.jpg
2;MOVIMENTO 5 STELLE;2 Movimento 5 Stelle.jpeg;;;;;;;;;;;2 Movimento 5 Stelle.jpeg
3;ENZIAN SUEœDTIROL;3 enzian listenzeichen.jpeg;;;;;;;;;;;3 enzian listenzeichen.jpeg
4;STF SUEœDTIROLER FREIHEIT;4 Suedtiroler Freiheit.jpg;;;;;;;;;;;4 Suedtiroler Freiheit.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;5 Partito Democratico.jpeg;;;;;;;;;;;5 Partito Democratico.jpeg
6;VERDI GRUœNE VERC;6 grune listenzeichen.jpeg;;;;;;;;;;;6 grüne listenzeichen.jpeg
7;FRATELLI D'ITALIA;7 Fratelli d'Italia.jpeg;;;;;;;;;;;7 Fratelli d'Italia.jpeg
8;LA CIVICA;8 La Civica .jpeg;;;;;;;;;;;8 La Civica .jpeg
9;JWA - WIRTH ANDERLAN;9 Jwa.jpg;;;;;;;;;;;9 Jwa.jpg
10;DIE FREIHEITLICHEN;10 f listenzeichen.jpeg;;;;;;;;;;;10 f listenzeichen.jpeg
11;FORZA ITALIA;11 fi listenzeichen.jpg;;;;;;;;;;;11 fi listenzeichen.jpg
12;VITA;12 vita listenzeichen.jpeg;;;;;;;;;;;12 vita listenzeichen.jpeg
13;CENTRO DESTRA;13 centro destra listenzeichen.jpeg;;;;;;;;;;;13 centro destra listenzeichen.jpeg
14;SVP SUEœDTIROLER VOLKSPARTEI;14 svp.jpeg;;;;;;;;;;;14 svp.jpeg
15;LEGA SALVINI ALTO ADIGE SUEœDTIROL - UNITI PER L'ALTO ADIGE;15 Lega - Uniti per l'Alto Adige.jpg;;;;;;;;;;;15 Lega - Uniti per l'Alto Adige.jpg
16;FUEœR SUEœDTIROL MIT WIDMANN;16 Fuer Suedtirol mit Widmann.jpg;;;;;;;;;;;16 Fuer Suedtirol mit Widmann.jpg
