"Istat Comune";"Nome Comune";"Sez.Pervenute";"Sez.Totali";"ElettoriM";"ElettoriF";"ElettoriT";"VotantiM";"VotantiF";"VotantiT";
"022001";"Ala";7;7;3322;3299;6621;0;0;1023;
"022002";"Albiano";1;1;583;562;1145;0;0;185;
"022003";"Aldeno";3;3;1232;1267;2499;0;0;427;
"022235";"Altavalle";4;4;689;697;1386;0;0;161;
"022236";"Altopiano della Vigolana";5;5;2075;2049;4124;0;0;657;
"022237";"Amblar-Don";1;1;201;209;410;0;0;61;
"022005";"Andalo";1;1;455;433;888;0;0;102;
"022006";"Arco";12;12;6820;7230;14050;0;0;1739;
"022007";"Avio";3;3;1586;1657;3243;0;0;566;
"022009";"Baselga di Pinè";4;4;2049;2139;4188;0;0;658;
"022011";"Bedollo";2;2;663;673;1336;0;0;168;
"022013";"Besenello";2;2;1031;1029;2060;0;0;279;
"022015";"Bieno";1;1;183;192;375;0;0;70;
"022017";"Bleggio Superiore";2;2;647;628;1275;0;0;180;
"022018";"Bocenago";1;1;168;173;341;0;0;42;
"022021";"Bondone";2;2;303;283;586;0;0;74;
"022238";"Borgo Chiese";3;3;827;842;1669;0;0;263;
"022239";"Borgo Lares";1;1;300;307;607;0;0;78;
"022022";"Borgo Valsugana";6;6;2744;2960;5704;0;0;830;
"022025";"Brentonico";4;4;1604;1622;3226;0;0;520;
"022026";"Bresimo";1;1;111;108;219;0;0;48;
"022027";"Brez";1;1;294;304;598;0;0;62;
"022029";"Caderzone Terme";1;1;273;263;536;0;0;93;
"022030";"Cagnò";1;1;148;143;291;0;0;49;
"022032";"Calceranica al Lago";1;1;556;550;1106;0;0;166;
"022033";"Caldes";2;2;437;446;883;0;0;123;
"022034";"Caldonazzo";3;3;1557;1568;3125;0;0;436;
"022035";"Calliano";2;2;711;727;1438;0;0;187;
"022036";"Campitello di Fassa/Ciampedel";1;1;292;311;603;0;0;88;
"022037";"Campodenno";1;1;619;587;1206;0;0;205;
"022038";"Canal San Bovo";3;3;687;754;1441;0;0;233;
"022039";"Canazei/Cianacei";2;2;703;788;1491;0;0;291;
"022040";"Capriana";1;1;272;259;531;0;0;72;
"022041";"Carano";1;1;423;459;882;0;0;109;
"022042";"Carisolo";1;1;420;427;847;0;0;117;
"022043";"Carzano";1;1;207;221;428;0;0;90;
"022045";"Castel Condino";1;1;96;91;187;0;0;48;
"022240";"Castel Ivano";4;4;1427;1429;2856;0;0;387;
"022046";"Castelfondo";1;1;246;224;470;0;0;59;
"022048";"Castello Tesino";2;2;614;604;1218;0;0;186;
"022047";"Castello-Molina di Fiemme";2;2;966;986;1952;0;0;227;
"022049";"Castelnuovo";1;1;433;428;861;0;0;120;
"022050";"Cavalese";3;3;1526;1676;3202;0;0;426;
"022051";"Cavareno";1;1;423;405;828;0;0;107;
"022052";"Cavedago";1;1;245;242;487;0;0;57;
"022053";"Cavedine";2;2;1282;1264;2546;0;0;329;
"022054";"Cavizzana";1;1;100;113;213;0;0;35;
"022241";"Cembra Lisignago";3;3;955;952;1907;0;0;254;
"022058";"Cimone";1;1;285;270;555;0;0;90;
"022059";"Cinte Tesino";1;1;167;182;349;0;0;79;
"022060";"Cis";1;1;157;151;308;0;0;33;
"022061";"Civezzano";3;3;1637;1630;3267;0;0;512;
"022062";"Cles";6;6;2611;2813;5424;0;0;908;
"022063";"Cloz";1;1;285;259;544;0;0;46;
"022228";"Comano Terme";3;3;1118;1122;2240;0;0;290;
"022064";"Commezzadura";1;1;407;408;815;0;0;120;
"022242";"Contà";3;3;608;603;1211;0;0;141;
"022068";"Croviana";1;1;259;260;519;0;0;97;
"022070";"Daiano";1;1;285;279;564;0;0;80;
"022071";"Dambel";1;1;192;172;364;0;0;33;
"022074";"Denno";1;1;482;482;964;0;0;146;
"022233";"Dimaro Folgarida";2;2;844;881;1725;0;0;261;
"022078";"Drena";1;1;249;243;492;0;0;68;
"022079";"Dro";4;4;1908;1969;3877;0;0;587;
"022080";"Faedo";1;1;265;260;525;0;0;79;
"022081";"Fai della Paganella";1;1;376;391;767;0;0;102;
"022083";"Fiavè";1;1;441;423;864;0;0;135;
"022085";"Fierozzo/Vlarötz";2;2;203;185;388;0;0;60;
"022087";"Folgaria";6;6;1368;1391;2759;0;0;372;
"022088";"Fondo";1;1;551;575;1126;0;0;140;
"022089";"Fornace";1;1;524;501;1025;0;0;141;
"022090";"Frassilongo/Garait";1;1;151;146;297;0;0;44;
"022091";"Garniga Terme";1;1;172;158;330;0;0;49;
"022092";"Giovo";3;3;1044;1041;2085;0;0;300;
"022093";"Giustino";1;1;289;317;606;0;0;92;
"022095";"Grigno";2;2;957;1009;1966;0;0;267;
"022097";"Imer";1;1;523;525;1048;0;0;145;
"022098";"Isera";2;2;1076;1069;2145;0;0;296;
"022102";"Lavarone";1;1;513;518;1031;0;0;138;
"022103";"Lavis";6;6;3393;3455;6848;0;0;1225;
"022229";"Ledro";7;7;2140;2256;4396;0;0;515;
"022104";"Levico Terme";6;6;3128;3160;6288;0;0;982;
