"Istat Comune";"Nome Comune";"Sez.Pervenute";"Sez.Totali";"ElettoriM";"ElettoriF";"ElettoriT";"VotantiM";"VotantiF";"VotantiT";
"022001";"Ala";0;7;3755;3673;7428;0;0;0;
"022002";"Albiano";0;1;845;796;1641;0;0;0;
"022003";"Aldeno";0;3;1380;1396;2776;0;0;0;
"022235";"Altavalle";0;4;825;811;1636;0;0;0;
"022237";"Amblar-Don";0;1;254;252;506;0;0;0;
"022005";"Andalo";0;1;488;479;967;0;0;0;
"022006";"Arco";0;12;7228;7653;14881;0;0;0;
"022007";"Avio";0;4;1799;1810;3609;0;0;0;
"022009";"Baselga di Piné";0;4;2250;2297;4547;0;0;0;
"022011";"Bedollo";0;2;697;698;1395;0;0;0;
"022013";"Besenello";0;2;1366;1346;2712;0;0;0;
"022015";"Bieno";0;1;206;223;429;0;0;0;
"022017";"Bleggio Superiore";0;2;689;671;1360;0;0;0;
"022018";"Bocenago";0;1;173;183;356;0;0;0;
"022238";"Borgo Chiese";0;3;860;851;1711;0;0;0;
"022252";"Borgo d'Anaunia";0;3;1002;962;1964;0;0;0;
"022239";"Borgo Lares";0;1;333;311;644;0;0;0;
"022025";"Brentonico";0;4;1767;1794;3561;0;0;0;
"022026";"Bresimo";0;1;129;119;248;0;0;0;
"022029";"Caderzone Terme";0;1;288;284;572;0;0;0;
"022032";"Calceranica al Lago";0;1;587;593;1180;0;0;0;
"022033";"Caldes";0;2;457;475;932;0;0;0;
"022034";"Caldonazzo";0;3;1795;1817;3612;0;0;0;
"022035";"Calliano";0;2;925;924;1849;0;0;0;
"022036";"Campitello di Fassa/Ciampedel";0;1;296;311;607;0;0;0;
"022037";"Campodenno";0;1;782;751;1533;0;0;0;
"022038";"Canal San Bovo";0;3;1129;1106;2235;0;0;0;
"022039";"Canazei/Cianacei";0;2;725;811;1536;0;0;0;
"022040";"Capriana";0;1;280;278;558;0;0;0;
"022042";"Carisolo";0;1;436;445;881;0;0;0;
"022043";"Carzano";0;1;217;225;442;0;0;0;
"022045";"Castel Condino";0;1;0;0;0;0;0;0;
"022240";"Castel Ivano";0;4;0;0;0;0;0;0;
"022048";"Castello Tesino";0;2;653;622;1275;0;0;0;
"022047";"Castello-Molina di Fiemme";0;2;1015;1028;2043;0;0;0;
"022049";"Castelnuovo";0;1;589;582;1171;0;0;0;
"022050";"Cavalese";0;3;1597;1731;3328;0;0;0;
"022051";"Cavareno";0;1;458;427;885;0;0;0;
"022052";"Cavedago";0;1;268;264;532;0;0;0;
"022053";"Cavedine";0;2;1545;1531;3076;0;0;0;
"022054";"Cavizzana";0;1;100;113;213;0;0;0;
"022241";"Cembra Lisignago";0;3;1174;1139;2313;0;0;0;
"022058";"Cimone";0;1;327;291;618;0;0;0;
"022059";"Cinte Tesino";0;1;186;194;380;0;0;0;
"022060";"Cis";0;1;166;174;340;0;0;0;
"022061";"Civezzano";0;3;1921;1853;3774;0;0;0;
"022062";"Cles";0;6;2664;2915;5579;0;0;0;
"022228";"Comano Terme";0;3;1221;1224;2445;0;0;0;
"022064";"Commezzadura";0;1;430;435;865;0;0;0;
"022242";"Contà";0;3;638;618;1256;0;0;0;
"022068";"Croviana";0;1;271;274;545;0;0;0;
"022071";"Dambel";0;1;0;0;0;0;0;0;
"022074";"Denno";0;1;572;541;1113;0;0;0;
"022233";"Dimaro Folgarida";0;2;924;957;1881;0;0;0;
"022078";"Drena";0;1;0;0;0;0;0;0;
"022079";"Dro";0;4;0;0;0;0;0;0;
"022081";"Fai della Paganella";0;1;381;405;786;0;0;0;
"022083";"Fiavé";0;1;450;436;886;0;0;0;
"022085";"Fierozzo/Vlarotz";0;2;218;199;417;0;0;0;
"022089";"Fornace";0;1;748;702;1450;0;0;0;
"022090";"Frassilongo/Garait";0;1;0;0;0;0;0;0;
"022092";"Giovo";0;3;1140;1135;2275;0;0;0;
"022093";"Giustino";0;1;310;341;651;0;0;0;
"022095";"Grigno";0;2;1163;1201;2364;0;0;0;
"022097";"Imer";0;1;0;0;0;0;0;0;
"022098";"Isera";0;2;1202;1231;2433;0;0;0;
"022102";"Lavarone";0;1;783;719;1502;0;0;0;
"022103";"Lavis";0;6;3497;3612;7109;0;0;0;
"022229";"Ledro";0;7;2317;2404;4721;0;0;0;
"022106";"Livo";0;1;386;382;768;0;0;0;
"022108";"Lona-Lases";0;1;341;331;672;0;0;0;
"022109";"Luserna/Lusérn";0;1;130;140;270;0;0;0;
"022243";"Madruzzo";0;4;1302;1254;2556;0;0;0;
"022110";"Malé";0;3;913;961;1874;0;0;0;
"022112";"Massimeno";0;1;78;68;146;0;0;0;
"022113";"Mazzin/Mazin";0;1;242;245;487;0;0;0;
"022114";"Mezzana";0;1;394;395;789;0;0;0;
"022115";"Mezzano";0;2;719;727;1446;0;0;0;
"022116";"Mezzocorona";0;4;2000;2000;4000;0;0;0;
"022117";"Mezzolombardo";0;5;2865;2980;5845;0;0;0;
"022118";"Moena/Moena";0;2;1101;1131;2232;0;0;0;
"022120";"Molveno";0;1;464;505;969;0;0;0;
"022123";"Mori";0;9;4110;4168;8278;0;0;0;
"022124";"Nago-Torbole";0;2;1120;1140;2260;0;0;0;
"022127";"Nogaredo";0;2;879;854;1733;0;0;0;
"022128";"Nomi";0;1;654;686;1340;0;0;0;
"022129";"Novaledo";0;1;876;892;1768;0;0;0;
"022253";"Novella";0;6;1667;1625;3292;0;0;0;
"022130";"Ospedaletto";0;1;505;484;989;0;0;0;
"022131";"Ossana";0;1;343;371;714;0;0;0;
"022133";"Palù del Fersina/Palai en Bersntol";0;1;102;89;191;0;0;0;
"022134";"Panchià";0;1;354;354;708;0;0;0;
"022136";"Peio";0;3;850;787;1637;0;0;0;
"022137";"Pellizzano";0;2;341;356;697;0;0;0;
"022138";"Pelugo";0;1;163;188;351;0;0;0;
"022139";"Pergine Valsugana";0;21;8903;9370;18273;0;0;0;
"022234";"Pieve di Bono-Prezzo";0;2;668;676;1344;0;0;0;
"022142";"Pieve Tesino";0;1;297;302;599;0;0;0;
"022143";"Pinzolo";0;4;1276;1301;2577;0;0;0;
"022144";"Pomarolo";0;2;0;0;0;0;0;0;
"022244";"Porte di Rendena";0;2;714;732;1446;0;0;0;
"022230";"Predaia";0;7;2854;2859;5713;0;0;0;
"022147";"Predazzo";0;3;1864;1893;3757;0;0;0;
"022245";"Primiero San Martino di Castrozza";0;6;0;0;0;0;0;0;
"022150";"Rabbi";0;1;639;635;1274;0;0;0;
"022153";"Riva del Garda";0;13;6815;7243;14058;0;0;0;
"022155";"Romeno";0;1;645;648;1293;0;0;0;
"022156";"Roncegno Terme";0;3;1922;1937;3859;0;0;0;
"022157";"Ronchi Valsugana";0;1;366;354;720;0;0;0;
"022135";"Ronzo-Chienis";0;1;447;394;841;0;0;0;
"022159";"Ronzone";0;1;193;179;372;0;0;0;
"022160";"Roverè della Luna";0;2;0;0;0;0;0;0;
"022161";"Rovereto";0;32;15040;16683;31723;0;0;0;
"022162";"Ruffrè-Mendola";0;1;213;200;413;0;0;0;
"022163";"Rumo";0;1;413;372;785;0;0;0;
"022164";"Sagron Mis";0;1;120;113;233;0;0;0;
"022165";"Samone";0;1;478;446;924;0;0;0;
"022250";"San Giovanni di Fassa/Sèn Jan";0;3;1365;1422;2787;0;0;0;
"022231";"San Lorenzo Dorsino";0;2;777;797;1574;0;0;0;
"022167";"San Michele all'Adige";0;3;1601;1547;3148;0;0;0;
"022168";"Sant'Orsola Terme";0;2;535;498;1033;0;0;0;
