"Istat Comune";"Nome Comune";"Sez.Pervenute";"Sez.Totali";"Presidente Id";"Voti solo al Presidente";"Progressivo Lista";"Lista Id";"Nome Lista";"Voti"
22001;"Ala";7;7;1141;223;8;1657;"POPOLI LIBERI - PRIMON - FREIE VÖLKER";28
22002;"Albiano";1;1;1141;20;8;1657;"POPOLI LIBERI - PRIMON - FREIE VÖLKER";4
22003;"Aldeno";3;3;1141;73;8;1657;"POPOLI LIBERI - PRIMON - FREIE VÖLKER";8
22235;"Altavalle";4;4;1141;38;8;1657;"POPOLI LIBERI - PRIMON - FREIE VÖLKER";11
22236;"Altopiano della Vigolana";5;5;1141;150;8;1657;"POPOLI LIBERI - PRIMON - FREIE VÖLKER";29
22237;"Amblar-Don";1;1;1141;8;8;1657;"POPOLI LIBERI - PRIMON - FREIE VÖLKER";1
22005;"Andalo";1;1;1141;18;8;1657;"POPOLI LIBERI - PRIMON - FREIE VÖLKER";2
22006;"Arco";12;12;1141;358;8;1657;"POPOLI LIBERI - PRIMON - FREIE VÖLKER";36
22007;"Avio";3;3;1141;160;8;1657;"POPOLI LIBERI - PRIMON - FREIE VÖLKER";20
22009;"Baselga di Pinè";4;4;1141;79;8;1657;"POPOLI LIBERI - PRIMON - FREIE VÖLKER";37
22011;"Bedollo";2;2;1141;28;8;1657;"POPOLI LIBERI - PRIMON - FREIE VÖLKER";9
22013;"Besenello";2;2;1141;45;8;1657;"POPOLI LIBERI - PRIMON - FREIE VÖLKER";23
22015;"Bieno";1;1;1141;11;8;1657;"POPOLI LIBERI - PRIMON - FREIE VÖLKER";2
22017;"Bleggio Superiore";2;2;1141;41;8;1657;"POPOLI LIBERI - PRIMON - FREIE VÖLKER";4
22018;"Bocenago";1;1;1141;4;8;1657;"POPOLI LIBERI - PRIMON - FREIE VÖLKER";0
22021;"Bondone";2;2;1141;6;8;1657;"POPOLI LIBERI - PRIMON - FREIE VÖLKER";1
