"Istat Comune";"Nome Comune";"Sez.Pervenute";"Sez.Totali";"Presidente Id";"Voti solo al Presidente";"Progressivo Lista";"Lista Id";"Nome Lista";"Voti";
"022001";"Ala";7;7;1143;223;1;1650;"LEGA SALVINI TRENTINO";1548;
"022001";"Ala";7;7;1143;223;2;1651;"PT";48;
"022001";"Ala";7;7;1142;223;3;1652;"CASAPOUND ITALIA";22;
"022001";"Ala";7;7;1148;223;4;1653;"MOVIMENT LADIN  DE FASCIA";3;
"022001";"Ala";7;7;1143;223;5;1654;"AGIRE PER IL TRENTINO";28;
"022001";"Ala";7;7;1147;223;6;1655;"UPT";97;
"022001";"Ala";7;7;1143;223;7;1656;"CIVICA TRENTINA";43;
"022001";"Ala";7;7;1141;223;8;1657;"POPOLI LIBERI - PRIMON - FREIE VÖLKER";28;
"022001";"Ala";7;7;1147;223;9;1658;"FUTURA 2018";140;
"022001";"Ala";7;7;1150;223;10;1659;"AD";37;
"022001";"Ala";7;7;1143;223;11;1660;"FASSA";14;
"022001";"Ala";7;7;1144;223;12;1661;"RICONQUISTARE L'ITALIA";2;
"022001";"Ala";7;7;1147;223;13;1662;"PD";643;
"022001";"Ala";7;7;1146;223;14;1663;"PATT";437;
"022001";"Ala";7;7;1143;223;15;1664;"AUTONOMISTI POPOLARI";60;
"022001";"Ala";7;7;1143;223;16;1665;"FORZA ITALIA";157;
"022001";"Ala";7;7;1149;223;17;1666;"L'ALTRO TRENTINO A SINISTRA";17;
"022001";"Ala";7;7;1145;223;18;1667;"TRE";22;
"022001";"Ala";7;7;1143;223;19;1668;"UDC";118;
"022001";"Ala";7;7;1149;223;20;1669;"LIBERI E UGUALI";54;
"022001";"Ala";7;7;1151;223;21;1670;"MOVIMENTO 5 STELLE";377;
"022001";"Ala";7;7;1143;223;22;1671;"FRATELLI D'ITALIA";167;
"022002";"Albiano";1;1;1143;20;1;1650;"LEGA SALVINI TRENTINO";225;
"022002";"Albiano";1;1;1143;20;2;1651;"PT";17;
"022002";"Albiano";1;1;1142;20;3;1652;"CASAPOUND ITALIA";2;
"022002";"Albiano";1;1;1148;20;4;1653;"MOVIMENT LADIN  DE FASCIA";0;
"022002";"Albiano";1;1;1143;20;5;1654;"AGIRE PER IL TRENTINO";14;
"022002";"Albiano";1;1;1147;20;6;1655;"UPT";36;
"022002";"Albiano";1;1;1143;20;7;1656;"CIVICA TRENTINA";89;
"022002";"Albiano";1;1;1141;20;8;1657;"POPOLI LIBERI - PRIMON - FREIE VÖLKER";4;
"022002";"Albiano";1;1;1147;20;9;1658;"FUTURA 2018";11;
"022002";"Albiano";1;1;1150;20;10;1659;"AD";5;
"022002";"Albiano";1;1;1143;20;11;1660;"FASSA";1;
"022002";"Albiano";1;1;1144;20;12;1661;"RICONQUISTARE L'ITALIA";0;
"022002";"Albiano";1;1;1147;20;13;1662;"PD";20;
"022002";"Albiano";1;1;1146;20;14;1663;"PATT";263;
"022002";"Albiano";1;1;1143;20;15;1664;"AUTONOMISTI POPOLARI";21;
"022002";"Albiano";1;1;1143;20;16;1665;"FORZA ITALIA";17;
"022002";"Albiano";1;1;1149;20;17;1666;"L'ALTRO TRENTINO A SINISTRA";2;
"022002";"Albiano";1;1;1145;20;18;1667;"TRE";2;
"022002";"Albiano";1;1;1143;20;19;1668;"UDC";10;
"022002";"Albiano";1;1;1149;20;20;1669;"LIBERI E UGUALI";3;
"022002";"Albiano";1;1;1151;20;21;1670;"MOVIMENTO 5 STELLE";38;
"022002";"Albiano";1;1;1143;20;22;1671;"FRATELLI D'ITALIA";9;
"022003";"Aldeno";3;3;1143;73;1;1650;"LEGA SALVINI TRENTINO";657;
"022003";"Aldeno";3;3;1143;73;2;1651;"PT";15;
