"Istat Comune";"Nome Comune";"Sez.Pervenute";"Sez.Totali";"Schede Bianche";"Schede nulle o contenenti solo voti nulli";"Schede contestate e non attribuite";"Progressivo Presidente";"Presidente Id";"Cognome";"Nome";"Nome Detto";"Vedova";"Voti";
"022001";"Ala";7;7;44;75;0;1;1141;"PRIMON";"PAOLO";"";N;29;
"022001";"Ala";7;7;44;75;0;2;1142;"CASTALDINI";"FILIPPO";"";N;23;
"022001";"Ala";7;7;44;75;0;3;1143;"FUGATTI";"MAURIZIO";"";N;2270;
"022001";"Ala";7;7;44;75;0;4;1144;"MONEGAGLIA";"FEDERICO";"";N;2;
"022001";"Ala";7;7;44;75;0;5;1145;"DE LAURENTIS";"ROBERTO";"";N;24;
"022001";"Ala";7;7;44;75;0;6;1146;"ROSSI";"UGO ANGELO GIOVANNI";"";N;456;
"022001";"Ala";7;7;44;75;0;7;1147;"TONINI";"GIORGIO";"";N;958;
"022001";"Ala";7;7;44;75;0;8;1148;"CHENETTI";"FERRUCCIO";"";N;3;
"022001";"Ala";7;7;44;75;0;9;1149;"VALER";"ANTONELLA";"";N;94;
"022001";"Ala";7;7;44;75;0;10;1150;"OTTOBRE";"MAURO";"";N;39;
"022001";"Ala";7;7;44;75;0;11;1151;"DEGASPERI";"FILIPPO";"";N;387;
"022002";"Albiano";1;1;7;11;0;1;1141;"PRIMON";"PAOLO";"";N;4;
"022002";"Albiano";1;1;7;11;0;2;1142;"CASTALDINI";"FILIPPO";"";N;2;
"022002";"Albiano";1;1;7;11;0;3;1143;"FUGATTI";"MAURIZIO";"";N;412;
"022002";"Albiano";1;1;7;11;0;4;1144;"MONEGAGLIA";"FEDERICO";"";N;0;
"022002";"Albiano";1;1;7;11;0;5;1145;"DE LAURENTIS";"ROBERTO";"";N;3;
"022002";"Albiano";1;1;7;11;0;6;1146;"ROSSI";"UGO ANGELO GIOVANNI";"";N;267;
"022002";"Albiano";1;1;7;11;0;7;1147;"TONINI";"GIORGIO";"";N;73;
"022002";"Albiano";1;1;7;11;0;8;1148;"CHENETTI";"FERRUCCIO";"";N;0;
"022002";"Albiano";1;1;7;11;0;9;1149;"VALER";"ANTONELLA";"";N;5;
"022002";"Albiano";1;1;7;11;0;10;1150;"OTTOBRE";"MAURO";"";N;5;
"022002";"Albiano";1;1;7;11;0;11;1151;"DEGASPERI";"FILIPPO";"";N;38;
"022003";"Aldeno";3;3;13;34;0;1;1141;"PRIMON";"PAOLO";"";N;9;
"022003";"Aldeno";3;3;13;34;0;2;1142;"CASTALDINI";"FILIPPO";"";N;3;
"022003";"Aldeno";3;3;13;34;0;3;1143;"FUGATTI";"MAURIZIO";"";N;887;
"022003";"Aldeno";3;3;13;34;0;4;1144;"MONEGAGLIA";"FEDERICO";"";N;3;
"022003";"Aldeno";3;3;13;34;0;5;1145;"DE LAURENTIS";"ROBERTO";"";N;20;
"022003";"Aldeno";3;3;13;34;0;6;1146;"ROSSI";"UGO ANGELO GIOVANNI";"";N;262;
"022003";"Aldeno";3;3;13;34;0;7;1147;"TONINI";"GIORGIO";"";N;448;
"022003";"Aldeno";3;3;13;34;0;8;1148;"CHENETTI";"FERRUCCIO";"";N;0;
"022003";"Aldeno";3;3;13;34;0;9;1149;"VALER";"ANTONELLA";"";N;45;
"022003";"Aldeno";3;3;13;34;0;10;1150;"OTTOBRE";"MAURO";"";N;6;
"022003";"Aldeno";3;3;13;34;0;11;1151;"DEGASPERI";"FILIPPO";"";N;107;
"022235";"Altavalle";4;4;14;37;0;1;1141;"PRIMON";"PAOLO";"";N;11;
"022235";"Altavalle";4;4;14;37;0;2;1142;"CASTALDINI";"FILIPPO";"";N;13;
"022235";"Altavalle";4;4;14;37;0;3;1143;"FUGATTI";"MAURIZIO";"";N;422;
"022235";"Altavalle";4;4;14;37;0;4;1144;"MONEGAGLIA";"FEDERICO";"";N;1;
"022235";"Altavalle";4;4;14;37;0;5;1145;"DE LAURENTIS";"ROBERTO";"";N;8;
"022235";"Altavalle";4;4;14;37;0;6;1146;"ROSSI";"UGO ANGELO GIOVANNI";"";N;105;
"022235";"Altavalle";4;4;14;37;0;7;1147;"TONINI";"GIORGIO";"";N;280;
"022235";"Altavalle";4;4;14;37;0;8;1148;"CHENETTI";"FERRUCCIO";"";N;2;
"022235";"Altavalle";4;4;14;37;0;9;1149;"VALER";"ANTONELLA";"";N;7;
"022235";"Altavalle";4;4;14;37;0;10;1150;"OTTOBRE";"MAURO";"";N;4;
"022235";"Altavalle";4;4;14;37;0;11;1151;"DEGASPERI";"FILIPPO";"";N;41;
"022236";"Altopiano della Vigolana";5;5;38;56;0;1;1141;"PRIMON";"PAOLO";"";N;31;
"022236";"Altopiano della Vigolana";5;5;38;56;0;2;1142;"CASTALDINI";"FILIPPO";"";N;6;
"022236";"Altopiano della Vigolana";5;5;38;56;0;3;1143;"FUGATTI";"MAURIZIO";"";N;1302;
"022236";"Altopiano della Vigolana";5;5;38;56;0;4;1144;"MONEGAGLIA";"FEDERICO";"";N;3;
"022236";"Altopiano della Vigolana";5;5;38;56;0;5;1145;"DE LAURENTIS";"ROBERTO";"";N;20;
"022236";"Altopiano della Vigolana";5;5;38;56;0;6;1146;"ROSSI";"UGO ANGELO GIOVANNI";"";N;300;
"022236";"Altopiano della Vigolana";5;5;38;56;0;7;1147;"TONINI";"GIORGIO";"";N;668;
"022236";"Altopiano della Vigolana";5;5;38;56;0;8;1148;"CHENETTI";"FERRUCCIO";"";N;4;
"022236";"Altopiano della Vigolana";5;5;38;56;0;9;1149;"VALER";"ANTONELLA";"";N;125;
"022236";"Altopiano della Vigolana";5;5;38;56;0;10;1150;"OTTOBRE";"MAURO";"";N;39;
"022236";"Altopiano della Vigolana";5;5;38;56;0;11;1151;"DEGASPERI";"FILIPPO";"";N;240;
