"Istat Comune";"Nome Comune";"Sez.Pervenute";"Sez.Totali";"Schede Bianche";"Schede nulle o contenenti solo voti nulli";"Schede contestate e non attribuite";"Progressivo Sindaco";"Sindaco Id";"Cognome";"Nome";"Nome Detto";"Vedova";"Voti";
"022001";"Ala";0;7;0;0;0;1;2141;"STANCA";"GIUSEPPE";"";N;0;
"022001";"Ala";0;7;0;0;0;2;2138;"CATTOI";"VANESSA";"";N;0;
"022001";"Ala";0;7;0;0;0;3;2140;"BELLORIO";"FRANCA";"";N;0;
"022001";"Ala";0;7;0;0;0;4;2139;"SOINI";"CLAUDIO";"";N;0;
"022002";"Albiano";0;1;0;0;0;1;2072;"LONA";"MARTINO";"";N;0;
"022003";"Aldeno";0;3;0;0;0;1;2048;"CRAMEROTTI";"ALIDA";"";N;0;
"022003";"Aldeno";0;3;0;0;0;2;2049;"CONT";"VANNI";"";N;0;
"022235";"Altavalle";0;4;0;0;0;1;2320;"PAOLAZZI";"MATTEO";"";N;0;
"022237";"Amblar-Don";0;1;0;0;0;1;2098;"MARCHES";"GIULIANO";"";N;0;
"022005";"Andalo";0;1;0;0;0;1;2092;"PERLI";"ALBERTO";"";N;0;
"022005";"Andalo";0;1;0;0;0;2;2199;"CATANZARO";"PAOLO";"";N;0;
"022006";"Arco";0;12;0;0;0;1;2305;"BETTA";"ALESSANDRO";"";N;0;
"022006";"Arco";0;12;0;0;0;2;2307;"PARISI";"CHIARA";"";N;0;
"022006";"Arco";0;12;0;0;0;3;2306;"BERNARDI";"GIACOMO";"";N;0;
"022006";"Arco";0;12;0;0;0;4;2314;"DE LAURENTIS";"ROBERTO";"";N;0;
"022007";"Avio";0;4;0;0;0;1;2039;"PILATI";"MARCO";"";N;0;
"022007";"Avio";0;4;0;0;0;2;2038;"GHEDINA";"MARCO";"";N;0;
"022007";"Avio";0;4;0;0;0;3;2036;"FRACCHETTI";"IVANO";"";N;0;
"022007";"Avio";0;4;0;0;0;4;2037;"ZAMPEDRI";"TULLIO";"";N;0;
"022009";"Baselga di Piné";0;4;0;0;0;1;2242;"FONTANA";"STEFANO";"";N;0;
"022009";"Baselga di Piné";0;4;0;0;0;2;2243;"SANTUARI";"ALESSANDRO";"";N;0;
"022011";"Bedollo";0;2;0;0;0;1;2115;"FANTINI";"FRANCESCO";"";N;0;
"022013";"Besenello";0;2;0;0;0;1;2034;"SPERDUTI";"MATTEO";"";N;0;
"022013";"Besenello";0;2;0;0;0;2;2110;"COMPERINI";"CRISTIAN";"";N;0;
"022015";"Bieno";0;1;0;0;0;1;2083;"DELLAMARIA";"UMBERTO";"";N;0;
"022015";"Bieno";0;1;0;0;0;2;2081;"TOGNOLLI";"GIORGIO MARIO";"";N;0;
"022017";"Bleggio Superiore";0;2;0;0;0;1;2238;"RICCADONNA";"FLAVIO";"";N;0;
"022018";"Bocenago";0;1;0;0;0;1;2055;"FERRAZZA";"WALTER";"";N;0;
"022018";"Bocenago";0;1;0;0;0;2;2210;"RICCADONNA";"LUCA";"";N;0;
"022238";"Borgo Chiese";0;3;0;0;0;1;2289;"BUTTERINI";"GIORGIO";"";N;0;
"022252";"Borgo d'Anaunia";0;3;0;0;0;1;2283;"GRAZIADEI";"DANIELE";"";N;0;
"022252";"Borgo d'Anaunia";0;3;0;0;0;2;2282;"MARCHES";"PAOLA";"";N;0;
"022239";"Borgo Lares";0;1;0;0;0;1;2027;"MARCHETTI";"GIORGIO";"";N;0;
"022025";"Brentonico";0;4;0;0;0;1;2260;"RAFFAELLI";"MASSIMO";"";N;0;
"022025";"Brentonico";0;4;0;0;0;2;2261;"PERENZONI";"CHRISTIAN";"";N;0;
"022026";"Bresimo";0;1;0;0;0;1;2019;"POZZATTI";"GIULIANO";"";N;0;
"022026";"Bresimo";0;1;0;0;0;2;2020;"SANDRI";"DARIO ANGELO";"";N;0;
"022029";"Caderzone Terme";0;1;0;0;0;1;2156;"MOSCA";"MARCELLO";"";N;0;
"022032";"Calceranica al Lago";0;1;0;0;0;1;2203;"UEZ";"CRISTIAN";"";N;0;
"022033";"Caldes";0;2;0;0;0;1;2211;"MAINI";"ANTONIO";"";N;0;
"022034";"Caldonazzo";0;3;0;0;0;1;2035;"GIACOMELLI";"RICCARDO";"";N;0;
"022034";"Caldonazzo";0;3;0;0;0;2;2299;"CIOLA";"CESARE";"";N;0;
"022034";"Caldonazzo";0;3;0;0;0;3;2129;"WOLF";"ELISABETTA";"";N;0;
"022034";"Caldonazzo";0;3;0;0;0;4;2109;"MINORA";"FRANCESCO ANDREA";"";N;0;
